A28102_at	GABRA3
L77567_s_at	No result found
L77701_at	COX17
L78833_cds4_at	IFI35
M10612_at	APOC4
M10901_at	NR3C1
M10942_at	MT1E
M11119_at	No result found
M11147_at	FTL
M11313_s_at	A2M
M11353_at	H3F3A
M11717_rna1_at	HSPA1A
M11718_at	COL5A2
M12125_at	TPM2
M12529_at	APOE
M12759_at	IGJ
M12886_at	TRBV5-4
M12959_s_at	TRD@
M12963_s_at	ADH1C
M13058_s_at	No result found
M13450_at	ESD
M13560_s_at	CD74
M13690_s_at	SERPING1
M13699_at	CP
M13755_at	ISG15
M13792_at	ADA
M13929_s_at	No result found
M14058_at	C1R
M14199_s_at	RPSAP12
M14200_rna1_at	DBI
M14219_at	SSR1
M14328_s_at	ENO1
M14483_rna1_s_at	PTMA
M14539_at	F13A1
M14676_at	FYN
M14745_at	BCL2
M15059_at	FCER2
M15182_at	GUSB
M15205_at	TK1
M15395_at	ITGB2
M15656_at	ALDOB
M15661_at	RPL36AL
M15780_at	No result found
M15796_at	PCNA
M15841_at	SNRPB2
M15856_at	LPL
M16038_at	No result found
M16276_at	HLA-DQB1
M16279_at	CD99
M16336_s_at	CD2
M16342_at	HNRNPC
M16364_s_at	CKB
M16441_cds1_at	LTA
M16505_at	STS
M16591_s_at	HCK
M16750_s_at	PIM1
M17754_at	POLR3D
M18000_at	RPS17
M18255_cds2_s_at	PRKCB
M18533_at	DMD
M18737_rna1_at	GZMA
M19045_f_at	LYZ
M19283_at	ACTG1
M19309_s_at	TNNT1
M19311_s_at	CALM2
M19483_at	ATP5B
M19645_at	No result found
M19650_s_at	CNP
M19961_at	COX5B
M19989_cds2_at	PDGFA
M20471_at	CLTA
M20530_at	SPINK1
M20543_at	ACTA1
M20642_s_at	MYL1
M20681_at	SLC2A3
M20867_s_at	GLUD1
M20902_at	APOC1
M21005_at	S100A8
M21119_s_at	LYZ
M21121_at	CCL5
M21142_cds2_s_at	GNAS
M21154_at	AMD1
M21186_at	CYBA
M21259_at	SNRPE
M21305_at	No result found
M21389_at	KRT5
M21494_at	CKM
M21624_at	TRD@
M21665_s_at	MYH6
M21812_at	MYLPF
M21984_at	TNNT3
M22092_at	NCAM1
M22348_s_at	UQCRB
M22382_at	No result found
M22430_at	PLA2G2A
M22538_at	NDUFV2
M22612_f_at	PRSS1
M22632_at	GOT2
M22638_at	LYL1
M22760_at	COX5A
M22877_at	CYCS
M22898_at	TP53
M22960_at	CTSA
M22976_at	CYB5A
M22995_at	RAP1A
M23114_at	ATP2A2
M23178_s_at	CCL3
M23254_at	CAPN2
M23294_at	HEXB
M23323_s_at	CD3E
M23575_f_at	PSG3
M23613_at	NPM1
M23892_s_at	ALOX15
M24069_at	CSDA
M24122_s_at	MYL3
M24194_at	GNB2L1
M24248_at	MYL3
M24283_at	ICAM1
M24351_cds2_at	No result found
M24364_at	HLA-DQB1
M24461_at	SFTPB
M24485_s_at	GSTP1
M24594_at	IFIT1
M24766_s_at	COL4A2
M24902_at	ACPP
M25077_at	TROVE2
M25079_s_at	HBB
M25280_at	SELL
M25753_at	CCNB1
M26004_s_at	CR2
M26041_s_at	HLA-DQA1
M26062_at	IL2RB
M26311_s_at	S100A9
M26576_cds2_at	COL4A1
M26679_at	HOXA5
M26708_s_at	PTMA
M26730_s_at	UQCRB
M26880_at	UBC
M27093_s_at	DBT
M27394_s_at	MS4A1
M27396_s_at	ASNS
M27492_at	IL1R1
M27504_s_at	TOP2B
M27749_r_at	IGLL1
M27891_at	CST3
M28130_rna1_s_at	IL8
M28170_at	No result found
M28209_at	RAB1A
M28213_s_at	RAB2A
M28827_at	CD1C
M28879_at	GZMB
M28882_s_at	MCAM
M28983_at	IL1A
M29064_at	HNRNPA2B1
M29277_at	MCAM
M29458_at	CA3
M29536_at	EIF2S2
M29550_at	PPP3CB
M29610_s_at	GYPE
M29696_at	IL7R
